,text
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  "
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  "
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  "
3,Very little music or anything to speak of.  
4,The best scene in the movie was when Gerardo is trying to find a song that keeps running through his head.  
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  "
6,Wasted two hours.  
7,"Saw the movie today and thought it was a good effort, good messages for kids.  "
8,A bit predictable.  
9,Loved the casting of Jimmy Buffet as the science teacher.  
10,And those baby owls were adorable.  
11,"The movie showed a lot of Florida at it's best, made it look very appealing.  "
12,The Songs Were The Best And The Muppets Were So Hilarious.  
13,It Was So Cool.  
14,"This is a very ""right on case"" movie that delivers everything almost right in your face.  "
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.  "
16,"This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.  "
17,"I'll put this gem up against any movie in terms of screenplay, cinematography, acting, post-production, editing, directing, or any other aspect of film-making.  "
18,"It's practically perfect in all of them  a true masterpiece in a sea of faux ""masterpieces.""  "
19,The structure of this film is easily the most tightly constructed in the history of cinema.  
20,I can think of no other film where something vitally important occurs every other minute.  
21,"In other words, the content level of this film is enough to easily fill a dozen other films.  "
22,How can anyone in their right mind ask for anything more from a movie than this?  
23,"It's quite simply the highest, most superlative form of cinema imaginable.  "
24,"Yes, this film does require a rather significant amount of puzzle-solving, but the pieces fit together to create a beautiful picture.  "
25,This short film certainly pulls no punches.  
26,Graphics is far from the best part of the game.  
27,This is the number one best TH game in the series.  
28,It deserves strong love.  
29,It is an insane game.  
30,"There are massive levels, massive unlockable characters... it's just a massive game.  "
31,Waste your money on this game.  
32,This is the kind of money that is wasted properly.  
33,"Actually, the graphics were good at the time.  "
34,Today the graphics are crap.  
35,"As they say in Canada, This is the fun game, aye.  "
36,This game rocks.  
37,"Buy it, play it, enjoy it, love it.  "
38,It's PURE BRILLIANCE.  
39,This was a flick doomed from its conception.  
40,"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  "
41,I wasn't the least bit interested.  
42,"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  "
43,But it's just not funny.  
44,But even the talented Carrell can't save this.  
45,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  "
46,The story itself is just predictable and lazy.  
47,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  "
48,"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  "
49,"The film succeeds despite, or perhaps because of, an obviously meagre budget.  "
50,"I'm glad the film didn't go for the most obvious choice, as a lesser film certainly would have.  "
51,"In addition to having one of the most lovely songs ever written, French Cancan also boasts one of the cutest leading ladies ever to grace the screen.  "
52,It's hard not to fall head-over-heels in love with that girl.  
53,"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  "
54,"Long, whiny and pointless.  "
55,"But I recommend waiting for their future efforts, let this one go.  "
56,"Excellent cast, story line, performances.  "
57,Totally believable.  
58,Anne Heche was utterly convincing.  
59,Sam Shepard's portrayal of a gung ho Marine was sobering.  
60,I sat riveted to the TV screen.  
61,All in all I give this one a resounding 9 out of 10.  
62,I do think Tom Hanks is a good actor.  
63,I enjoyed reading this book to my children when they were little.  
64,I was very disappointed in the movie.  
65,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  
66,There is a totally unnecessary train/roller coaster scene.  
67,There was absolutely no warmth or charm to these scenes or characters.  
68,This movie totally grates on my nerves.  
69,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  "
70,"And, quite honestly, often its not very good.  "
71,"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  "
72,"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  "
73,There are some generally great things in it.  
74,"I wouldn't say they're worth 2 hours of your time, though.  "
75,"The suspense builders were good, & just cross the line from G to PG.  "
76,"I especially liked the non-cliche choices with the parents; in other movies, I could predict the dialog verbatim, but the writing in this movie made better selections.  "
77,"If you want a movie that's not gross but gives you some chills, this is a great choice.  "
78,Alexander Nevsky is a great film.  
79,"He is an amazing film artist, one of the most important whoever lived.  "
80,"I'm glad this pretentious piece of s*** didn't do as planned by the Dodge stratus Big Shots... It's gonna help movie makers who aren't in the very restrained ""movie business"" of Québec.  "
81,This if the first movie I've given a 10 to in years.  
82,"If there was ever a movie that needed word-of-mouth to promote, this is it.  "
83,"Overall, the film is interesting and thought-provoking.  "
84,"Plus, it was well-paced and suited its relatively short run time.  "
85,Give this one a look.  
86,I gave it a 10  
87,The Wind and the Lion is well written and superbly acted.  
88,It is a true classic.  
