"weight";"word";"color";"url"
"182";"good";"";""
"174";"movie";"";""
"155";"film";"";""
"128";"great";"";""
"125";"one";"";""
"123";"like";"";""
"118";"phone";"";""
"108";"just";"";""
"100";"time";"";""
"97";"food";"";""
"95";"place";"";""
"94";"really";"";""
"81";"bad";"";""
"68";"even";"";""
"66";"service";"";""
"64";"ever";"";""
"64";"will";"";""
"63";"well";"";""
"57";"can";"";""
"56";"also";"";""
"55";"get";"";""
"55";"made";"";""
"54";"best";"";""
"52";"love";"";""
"52";"quality";"";""
"48";"back";"";""
"48";"recommend";"";""
"46";"better";"";""
"46";"much";"";""
"45";"think";"";""
"45";"work";"";""
"43";"sound";"";""
"42";"make";"";""
"42";"way";"";""
"41";"acting";"";""
"40";"use";"";""
"39";"first";"";""
"39";"got";"";""
"38";"never";"";""
"38";"see";"";""
"37";"pretty";"";""
"36";"works";"";""
"35";"little";"";""
"35";"nice";"";""
"34";"product";"";""
"34";"say";"";""
"34";"still";"";""
"33";"characters";"";""
"33";"enough";"";""
"33";"going";"";""
"33";"headset";"";""
"32";"thing";"";""
"32";"two";"";""
"31";"every";"";""
"30";"came";"";""
"30";"know";"";""
"30";"movies";"";""
"30";"real";"";""
"30";"right";"";""
"29";"battery";"";""
"29";"minutes";"";""
"29";"people";"";""
"28";"excellent";"";""
"28";"look";"";""
"28";"story";"";""
"28";"waste";"";""
"27";"many";"";""
"27";"now";"";""
"27";"worst";"";""
"26";"plot";"";""
"26";"seen";"";""
"26";"worth";"";""
"25";"case";"";""
"25";"new";"";""
"25";"quite";"";""
"25";"years";"";""
"24";"definitely";"";""
"24";"films";"";""
"24";"script";"";""
"24";"want";"";""
"24";"wonderful";"";""
"23";"ear";"";""
"23";"found";"";""
"23";"piece";"";""
"23";"used";"";""
"22";"character";"";""
"22";"experience";"";""
"22";"friendly";"";""
"22";"lot";"";""
"21";"always";"";""
"21";"disappointed";"";""
"21";"far";"";""
"21";"give";"";""
"21";"happy";"";""
"21";"take";"";""
"21";"terrible";"";""
"21";"times";"";""
"21";"watching";"";""
"20";"absolutely";"";""
"20";"amazing";"";""
"20";"anyone";"";""
"20";"bought";"";""
"20";"money";"";""
"20";"price";"";""
"20";"restaurant";"";""
"20";"screen";"";""
"19";"around";"";""
"19";"camera";"";""
"19";"car";"";""
"19";"everything";"";""
"19";"find";"";""
"19";"life";"";""
"19";"long";"";""
"19";"nothing";"";""
"19";"probably";"";""
"19";"scenes";"";""
"19";"thought";"";""
"19";"watch";"";""
"18";"another";"";""
"18";"eat";"";""
"18";"fine";"";""
"18";"funny";"";""
"18";"makes";"";""
"18";"music";"";""
"18";"part";"";""
"18";"since";"";""
"18";"went";"";""
"17";"actors";"";""
"17";"cast";"";""
"17";"come";"";""
"17";"easy";"";""
"17";"said";"";""
"17";"staff";"";""
"17";"stupid";"";""
"17";"things";"";""
"17";"totally";"";""
"17";"Vegas";"";""
"17";"worked";"";""
"16";"charger";"";""
"16";"day";"";""
"16";"end";"";""
"16";"feel";"";""
"16";"highly";"";""
"16";"impressed";"";""
"16";"it.,0";"";""
"16";"loved";"";""
"16";"night";"";""
"16";"sure";"";""
"15";"back.,0";"";""
"15";"cheap";"";""
"15";"cool";"";""
"15";"especially";"";""
"15";"felt";"";""
"15";"job";"";""
"15";"kind";"";""
"15";"least";"";""
"15";"line";"";""
"15";"must";"";""
"15";"next";"";""
"15";"old";"";""
"15";"scene";"";""
"15";"show";"";""
"15";"small";"";""
"15";"stars";"";""
"15";"talk";"";""
"14";"actually";"";""
"14";"awful";"";""
"14";"beautiful";"";""
"14";"bit";"";""
"14";"black";"";""
"14";"chicken";"";""
"14";"comfortable";"";""
"14";"completely";"";""
"14";"enjoyed";"";""
"14";"family";"";""
"14";"good.,1";"";""
"14";"Great";"";""
"14";"great.,1";"";""
"14";"hear";"";""
"14";"interesting";"";""
"14";"it.,1";"";""
"14";"last";"";""
"14";"liked";"";""
"14";"menu";"";""
"14";"order";"";""
"14";"ordered";"";""
"14";"phone.,1";"";""
"14";"poor";"";""
"14";"simply";"";""
"14";"slow";"";""
"14";"tried";"";""
"14";"without";"";""
"14";"writing";"";""
"13";"anything";"";""
"13";"big";"";""
"13";"coming";"";""
"13";"dialogue";"";""
"13";"different";"";""
"13";"expect";"";""
"13";"hard";"";""
"13";"horrible";"";""
"13";"item";"";""
"13";"low";"";""
"13";"performance";"";""
"13";"rather";"";""
"13";"reception";"";""
"13";"service.,0";"";""
"13";"though";"";""
"13";"wait";"";""
"13";"whole";"";""
"12";"almost";"";""
"12";"awesome";"";""
"12";"believe";"";""
"12";"buy";"";""
"12";"cell";"";""
"12";"charge";"";""
"12";"done";"";""
"12";"enjoy";"";""
"12";"fact";"";""
"12";"fresh";"";""
"12";"gets";"";""
"12";"hour";"";""
"12";"However";"";""
"12";"looking";"";""
"12";"looks";"";""
"12";"man";"";""
"12";"perfect";"";""
"12";"pizza";"";""
"12";"problem";"";""
"12";"problems";"";""
"12";"put";"";""
"12";"server";"";""
"12";"several";"";""
"12";"short";"";""
"12";"tell";"";""
"12";"try";"";""
"12";"understand";"";""
"12";"watched";"";""
"12";"well.,1";"";""
"12";"white";"";""
