"weight";"word";"color";"url"
"1534";"the";"";""
"1315";"and";"";""
"991";"be";"";""
"956";"a";"";""
"610";"of";"";""
"605";"to";"";""
"496";"it";"";""
"413";"is";"";""
"389";"in";"";""
"310";"have";"";""
"310";"with";"";""
"303";"for";"";""
"302";"good";"";""
"264";"great";"";""
"256";"I";"";""
"254";"was";"";""
"245";"that";"";""
"225";"thi";"";""
"224";"i";"";""
"218";"this";"";""
"215";"my";"";""
"214";"film";"";""
"209";"on";"";""
"156";"so";"";""
"154";"you";"";""
"145";"phone";"";""
"142";"one";"";""
"141";"but";"";""
"128";"like";"";""
"126";"love";"";""
"125";"very";"";""
"124";"veri";"";""
"109";"well";"";""
"108";"an";"";""
"107";"all";"";""
"107";"place";"";""
"103";"not";"";""
"101";"are";"";""
"101";"movi";"";""
"100";"time";"";""
"98";"food";"";""
"97";"best";"";""
"96";"as";"";""
"94";"from";"";""
"92";"just";"";""
"87";"at";"";""
"83";"work";"";""
"82";"movie";"";""
"79";"do";"";""
"79";"The";"";""
"78";"about";"";""
"78";"by";"";""
"75";"out";"";""
"74";"1,the";"";""
"74";"recommend";"";""
"73";"nice";"";""
"72";"make";"";""
"70";"also";"";""
"70";"get";"";""
"67";"1,i";"";""
"67";"than";"";""
"66";"go";"";""
"66";"they";"";""
"66";"your";"";""
"65";"more";"";""
"65";"use";"";""
"63";"had";"";""
"62";"can";"";""
"62";"here";"";""
"62";"will";"";""
"60";"or";"";""
"60";"sound";"";""
"59";"up";"";""
"58";"even";"";""
"58";"ever";"";""
"58";"headset";"";""
"58";"price";"";""
"58";"when";"";""
"57";"has";"";""
"55";"other";"";""
"55";"think";"";""
"54";"product";"";""
"54";"which";"";""
"54";"who";"";""
"53";"realli";"";""
"52";"really";"";""
"52";"see";"";""
"52";"their";"";""
"52";"were";"";""
"50";"1,it";"";""
"50";"we";"";""
"49";"would";"";""
"47";"say";"";""
"47";"some";"";""
"47";"there";"";""
"46";"he";"";""
"45";"if";"";""
"44";"most";"";""
"44";"our";"";""
"43";"servic";"";""
"42";"me";"";""
"41";"come";"";""
"40";"back";"";""
"40";"what";"";""
"39";"1,thi";"";""
"38";"case";"";""
"38";"excel";"";""
"38";"look";"";""
"38";"right";"";""
"37";"qualiti";"";""
"37";"watch";"";""
"36";"charact";"";""
"36";"could";"";""
"36";"first";"";""
"36";"play";"";""
"36";"them";"";""
"35";"again";"";""
"35";"fine";"";""
"35";"give";"";""
"35";"it's";"";""
"35";"way";"";""
"34";"cast";"";""
"34";"find";"";""
"34";"over";"";""
"34";"still";"";""
"33";"amaz";"";""
"33";"ear";"";""
"33";"enjoy";"";""
"33";"no";"";""
"33";"two";"";""
"32";"both";"";""
"32";"lot";"";""
"32";"works";"";""
"32";"year";"";""
"31";"wonder";"";""
"30";"job";"";""
"30";"made";"";""
"30";"perfect";"";""
"30";"want";"";""
"30";"worth";"";""
"29";"end";"";""
"29";"new";"";""
"29";"order";"";""
"29";"real";"";""
"28";"actor";"";""
"28";"camera";"";""
"28";"cool";"";""
"28";"excellent";"";""
"28";"how";"";""
"28";"It";"";""
"28";"quality";"";""
"28";"thing";"";""
"27";"know";"";""
"27";"service";"";""
"26";"far";"";""
"26";"feel";"";""
"26";"happi";"";""
"26";"her";"";""
"26";"I've";"";""
"25";"been";"";""
"25";"his";"";""
"25";"ive";"";""
"25";"now";"";""
"25";"pretti";"";""
"24";"after";"";""
"24";"ani";"";""
"24";"any";"";""
"24";"comfort";"";""
"24";"friendli";"";""
"24";"hi";"";""
"24";"into";"";""
"24";"life";"";""
"24";"menu";"";""
"24";"much";"";""
"24";"never";"";""
"24";"part";"";""
"24";"pretty";"";""
"24";"staff";"";""
"24";"wonderful";"";""
"23";"becaus";"";""
"23";"because";"";""
"23";"day";"";""
"23";"enough";"";""
"23";"screen";"";""
"23";"This";"";""
"22";"better";"";""
"22";"fresh";"";""
"22";"music";"";""
"22";"steak";"";""
"22";"too";"";""
"22";"white";"";""
"21";"car";"";""
"21";"characters";"";""
"21";"delici";"";""
"21";"every";"";""
"21";"fit";"";""
"21";"long";"";""
"21";"must";"";""
"21";"scene";"";""
"21";"small";"";""
"21";"take";"";""
"21";"these";"";""
"21";"years";"";""
"20";"batteri";"";""
"20";"beauti";"";""
"20";"everi";"";""
"20";"few";"";""
"20";"happy";"";""
"20";"onli";"";""
"20";"only";"";""
"20";"own";"";""
