,text,sentiment
0,"A very, very, very slow-moving, aimless movie about a distressed, drifting young man.  ",0
1,"Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.  ",0
2,"Attempting artiness with black & white and clever camera angles, the movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent.  ",0
3,Very little music or anything to speak of.  ,0
5,"The rest of the movie lacks art, charm, meaning... If it's about emptiness, it works I guess because it's empty.  ",0
6,Wasted two hours.  ,0
8,A bit predictable.  ,0
15,"It had some average acting from the main person, and it was a low budget as you clearly can see.  ",0
25,This short film certainly pulls no punches.  ,0
26,Graphics is far from the best part of the game.  ,0
34,Today the graphics are crap.  ,0
39,This was a flick doomed from its conception.  ,0
40,"The very idea of it was lame - take a minor character from a mediocre PG-13 film, and make a complete non-sequel while changing its tone to a PG-rated family movie.  ",0
41,I wasn't the least bit interested.  ,0
42,"Not only did it only confirm that the film would be unfunny and generic, but it also managed to give away the ENTIRE movie; and I'm not exaggerating - every moment, every plot point, every joke is told in the trailer.  ",0
43,But it's just not funny.  ,0
44,But even the talented Carrell can't save this.  ,0
45,"His co-stars don't fare much better, with people like Morgan Freeman, Jonah Hill, and Ed Helms just wasted.  ",0
46,The story itself is just predictable and lazy.  ,0
47,"The only real effects work is the presence of all the animals, and the integration of those into the scenes is some of the worst and most obvious blue/green-screen work I've ever seen.  ",0
48,"But whatever it was that cost them so much, it didn't translate to quality, that's for sure.  ",0
53,"On the negative, it's insipid enough to cause regret for another 2 hours of life wasted in front of the screen.  ",0
54,"Long, whiny and pointless.  ",0
55,"But I recommend waiting for their future efforts, let this one go.  ",0
64,I was very disappointed in the movie.  ,0
65,One character is totally annoying with a voice that gives me the feeling of fingernails on a chalkboard.  ,0
66,There is a totally unnecessary train/roller coaster scene.  ,0
67,There was absolutely no warmth or charm to these scenes or characters.  ,0
68,This movie totally grates on my nerves.  ,0
69,"The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they're delivering the line well, but whether the line itself is any good.  ",0
70,"And, quite honestly, often its not very good.  ",0
71,"Often the dialogue doesn't really follow from one line to another, or fit the surroundings.  ",0
72,"It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  ",0
74,"I wouldn't say they're worth 2 hours of your time, though.  ",0
