"weight";"word";"color";"url"
"92";"movie";"";""
"78";"bad";"";""
"67";"like";"";""
"62";"just";"";""
"60";"phone";"";""
"57";"film";"";""
"55";"one";"";""
"54";"time";"";""
"51";"food";"";""
"48";"place";"";""
"47";"good";"";""
"42";"really";"";""
"39";"even";"";""
"36";"ever";"";""
"34";"get";"";""
"34";"much";"";""
"33";"will";"";""
"32";"service";"";""
"31";"work";"";""
"30";"back";"";""
"30";"make";"";""
"28";"waste";"";""
"27";"can";"";""
"27";"never";"";""
"26";"acting";"";""
"26";"minutes";"";""
"26";"way";"";""
"26";"worst";"";""
"24";"got";"";""
"23";"better";"";""
"23";"made";"";""
"22";"also";"";""
"22";"enough";"";""
"22";"going";"";""
"22";"plot";"";""
"22";"quality";"";""
"22";"thing";"";""
"22";"think";"";""
"22";"use";"";""
"21";"first";"";""
"20";"little";"";""
"20";"script";"";""
"20";"see";"";""
"20";"terrible";"";""
"19";"disappointed";"";""
"19";"know";"";""
"18";"money";"";""
"18";"piece";"";""
"17";"seen";"";""
"17";"still";"";""
"17";"stupid";"";""
"16";"battery";"";""
"16";"came";"";""
"16";"it.,0";"";""
"16";"look";"";""
"16";"nothing";"";""
"16";"real";"";""
"16";"recommend";"";""
"16";"sound";"";""
"16";"story";"";""
"16";"two";"";""
"16";"well";"";""
"15";"back.,0";"";""
"15";"now";"";""
"15";"times";"";""
"14";"poor";"";""
"14";"probably";"";""
"14";"say";"";""
"14";"slow";"";""
"14";"take";"";""
"13";"around";"";""
"13";"awful";"";""
"13";"cheap";"";""
"13";"horrible";"";""
"13";"movies";"";""
"13";"pretty";"";""
"13";"service.,0";"";""
"13";"totally";"";""
"12";"another";"";""
"12";"characters";"";""
"12";"eat";"";""
"12";"new";"";""
"12";"old";"";""
"12";"people";"";""
"12";"product";"";""
"12";"right";"";""
"12";"scenes";"";""
"12";"talk";"";""
"12";"used";"";""
"12";"want";"";""
"11";"bit";"";""
"11";"bought";"";""
"11";"experience";"";""
"11";"far";"";""
"11";"give";"";""
"11";"hear";"";""
"11";"many";"";""
"11";"phone.,0";"";""
"11";"quite";"";""
"11";"said";"";""
"11";"sure";"";""
"11";"wait";"";""
"11";"went";"";""
"11";"worse";"";""
"11";"worth";"";""
"10";"again.,0";"";""
"10";"anyone";"";""
"10";"anything";"";""
"10";"buy";"";""
"10";"calls";"";""
"10";"case";"";""
"10";"charger";"";""
"10";"completely";"";""
"10";"dialogue";"";""
"10";"ear";"";""
"10";"every";"";""
"10";"felt";"";""
"10";"films";"";""
"10";"found";"";""
"10";"kind";"";""
"10";"least";"";""
"10";"life";"";""
"10";"line";"";""
"10";"long";"";""
"10";"show";"";""
"10";"started";"";""
"10";"sucked";"";""
"10";"sucks";"";""
"10";"things";"";""
"10";"watching";"";""
"10";"worked";"";""
"10";"writing";"";""
"9";"absolutely";"";""
"9";"barely";"";""
"9";"car";"";""
"9";"character";"";""
"9";"charge";"";""
"9";"coming";"";""
"9";"expect";"";""
"9";"find";"";""
"9";"hard";"";""
"9";"hour";"";""
"9";"hours";"";""
"9";"However";"";""
"9";"low";"";""
"9";"mediocre";"";""
"9";"mess";"";""
"9";"next";"";""
"9";"plug";"";""
"9";"problem";"";""
"9";"product.,0";"";""
"9";"return";"";""
"9";"took";"";""
"8";"almost";"";""
"8";"best";"";""
"8";"big";"";""
"8";"burger";"";""
"8";"crap";"";""
"8";"customer";"";""
"8";"definitely";"";""
"8";"ear.,0";"";""
"8";"extremely";"";""
"8";"feel";"";""
"8";"great";"";""
"8";"half";"";""
"8";"hate";"";""
"8";"headset";"";""
"8";"impressed";"";""
