"weight";"word";"color";"url"
"135";"good";"";""
"120";"great";"";""
"98";"film";"";""
"82";"movie";"";""
"70";"one";"";""
"58";"phone";"";""
"56";"like";"";""
"52";"really";"";""
"47";"love";"";""
"47";"place";"";""
"47";"well";"";""
"46";"best";"";""
"46";"food";"";""
"46";"just";"";""
"46";"time";"";""
"34";"also";"";""
"34";"service";"";""
"33";"nice";"";""
"32";"made";"";""
"32";"recommend";"";""
"32";"works";"";""
"31";"will";"";""
"30";"can";"";""
"30";"quality";"";""
"29";"even";"";""
"28";"ever";"";""
"28";"excellent";"";""
"27";"sound";"";""
"25";"headset";"";""
"24";"pretty";"";""
"24";"wonderful";"";""
"23";"better";"";""
"23";"think";"";""
"22";"product";"";""
"21";"characters";"";""
"21";"every";"";""
"21";"get";"";""
"21";"years";"";""
"20";"happy";"";""
"20";"say";"";""
"19";"friendly";"";""
"18";"back";"";""
"18";"first";"";""
"18";"right";"";""
"18";"see";"";""
"18";"use";"";""
"17";"amazing";"";""
"17";"fine";"";""
"17";"movies";"";""
"17";"people";"";""
"17";"price";"";""
"17";"still";"";""
"16";"definitely";"";""
"16";"loved";"";""
"16";"many";"";""
"16";"two";"";""
"16";"way";"";""
"15";"acting";"";""
"15";"case";"";""
"15";"everything";"";""
"15";"funny";"";""
"15";"got";"";""
"15";"little";"";""
"15";"restaurant";"";""
"15";"worth";"";""
"14";"always";"";""
"14";"beautiful";"";""
"14";"came";"";""
"14";"camera";"";""
"14";"cast";"";""
"14";"cool";"";""
"14";"enjoyed";"";""
"14";"films";"";""
"14";"good.,1";"";""
"14";"Great";"";""
"14";"great.,1";"";""
"14";"highly";"";""
"14";"it.,1";"";""
"14";"job";"";""
"14";"lot";"";""
"14";"phone.,1";"";""
"14";"quite";"";""
"14";"real";"";""
"14";"work";"";""
"13";"battery";"";""
"13";"character";"";""
"13";"ear";"";""
"13";"easy";"";""
"13";"found";"";""
"13";"interesting";"";""
"13";"liked";"";""
"13";"new";"";""
"13";"staff";"";""
"12";"awesome";"";""
"12";"family";"";""
"12";"look";"";""
"12";"make";"";""
"12";"makes";"";""
"12";"menu";"";""
"12";"much";"";""
"12";"now";"";""
"12";"perfect";"";""
"12";"performance";"";""
"12";"screen";"";""
"12";"story";"";""
"12";"want";"";""
"12";"well.,1";"";""
"11";"absolutely";"";""
"11";"comfortable";"";""
"11";"day";"";""
"11";"enough";"";""
"11";"experience";"";""
"11";"fresh";"";""
"11";"going";"";""
"11";"know";"";""
"11";"music";"";""
"11";"never";"";""
"11";"thought";"";""
"11";"used";"";""
"11";"Vegas";"";""
"11";"watch";"";""
"11";"watching";"";""
"11";"white";"";""
"10";"actors";"";""
"10";"actually";"";""
"10";"anyone";"";""
"10";"car";"";""
"10";"come";"";""
"10";"far";"";""
"10";"find";"";""
"10";"give";"";""
"10";"Good";"";""
"10";"must";"";""
"10";"order";"";""
"10";"part";"";""
"10";"place.,1";"";""
"10";"played";"";""
"10";"since";"";""
"10";"small";"";""
"10";"thing";"";""
"10";"tried";"";""
"9";"actor";"";""
"9";"bought";"";""
"9";"delicious";"";""
"9";"end";"";""
"9";"ending";"";""
"9";"especially";"";""
"9";"fantastic";"";""
"9";"fits";"";""
"9";"incredible";"";""
"9";"life";"";""
"9";"long";"";""
"9";"pleased";"";""
"9";"product.,1";"";""
"9";"reception";"";""
"9";"seen";"";""
"9";"stars";"";""
"9";"steak";"";""
"9";"without";"";""
"9";"working";"";""
"8";"art";"";""
"8";"atmosphere";"";""
"8";"cell";"";""
"8";"cinema";"";""
"8";"clear";"";""
"8";"different";"";""
"8";"fact";"";""
"8";"feel";"";""
"8";"fun";"";""
"8";"game";"";""
"8";"gets";"";""
"8";"impressed";"";""
"8";"man";"";""
"8";"night";"";""
"8";"pizza";"";""
"8";"play";"";""
"8";"price.,1";"";""
"8";"saw";"";""
"8";"server";"";""
"8";"short";"";""
"8";"super";"";""
"8";"though";"";""
"8";"truly";"";""
"7";"black";"";""
"7";"chicken";"";""
"7";"done";"";""
"7";"enjoy";"";""
"7";"fast";"";""
"7";"fit";"";""
"7";"inside";"";""
"7";"joy";"";""
"7";"last";"";""
"7";"need";"";""
"7";"original";"";""
"7";"Overall";"";""
"7";"perfectly";"";""
"7";"priced";"";""
"7";"scene";"";""
"7";"scenes";"";""
"7";"service.,1";"";""
"7";"side";"";""
"7";"strong";"";""
"7";"subtle";"";""
"7";"take";"";""
"7";"tender";"";""
"7";"things";"";""
"7";"using";"";""
"7";"wear";"";""
"7";"went";"";""
"7";"worked";"";""
"6";"amount";"";""
"6";"another";"";""
"6";"around";"";""
"6";"ask";"";""
"6";"bluetooth";"";""
"6";"charger";"";""
"6";"device";"";""
"6";"drama";"";""
"6";"eat";"";""
"6";"effects";"";""
"6";"full";"";""
"6";"glad";"";""
"6";"here.,1";"";""
"6";"history";"";""
"6";"hope";"";""
"6";"Jabra";"";""
"6";"less";"";""
"6";"light";"";""
"6";"looking";"";""
"6";"next";"";""
"6";"ordered";"";""
"6";"portrayal";"";""
"6";"quick";"";""
"6";"rather";"";""
"6";"received";"";""
"6";"said";"";""
"6";"sauce";"";""
"6";"seems";"";""
"6";"selection";"";""
"6";"several";"";""
"6";"simply";"";""
"6";"solid";"";""
"6";"spicy";"";""
"6";"taste";"";""
"6";"tell";"";""
"6";"terrific";"";""
"6";"times";"";""
"6";"together";"";""
"6";"town";"";""
"6";"TV";"";""
"6";"use.,1";"";""
"6";"yet";"";""
"5";"again.,1";"";""
"5";"amazing.,1";"";""
"5";"attentive";"";""
"5";"bar";"";""
"5";"become";"";""
"5";"beer";"";""
"5";"believable";"";""
"5";"believe";"";""
"5";"Best";"";""
"5";"BEST";"";""
"5";"big";"";""
"5";"bread";"";""
"5";"breakfast";"";""
"5";"brilliant";"";""
"5";"buffet";"";""
"5";"care";"";""
"5";"certainly";"";""
"5";"child";"";""
"5";"cinematography";"";""
"5";"classic";"";""
"5";"clean";"";""
"5";"comedy";"";""
"5";"decent";"";""
"5";"delicious!,1";"";""
"5";"delicious.,1";"";""
"5";"director";"";""
"5";"exactly";"";""
"5";"experience.,1";"";""
"5";"features";"";""
"5";"feels";"";""
"5";"felt";"";""
"5";"food.,1";"";""
"5";"friendly.,1";"";""
"5";"gave";"";""
"5";"gives";"";""
"5";"great!,1";"";""
"5";"high";"";""
"5";"home";"";""
"5";"house";"";""
"5";"however";"";""
"5";"huge";"";""
"5";"important";"";""
"5";"it!,1";"";""
"5";"item";"";""
"5";"John";"";""
"5";"kids";"";""
"5";"kind";"";""
"5";"least";"";""
"5";"left";"";""
"5";"line";"";""
"5";"lovely";"";""
"5";"Nice";"";""
"5";"pictures";"";""
"5";"piece";"";""
"5";"places";"";""
"5";"playing";"";""
"5";"probably";"";""
"5";"problems";"";""
"5";"quality.,1";"";""
"5";"quickly";"";""
"5";"reasonable";"";""
"5";"roles";"";""
"5";"salad";"";""
"5";"sandwich";"";""
"5";"second";"";""
"5";"seeing";"";""
"5";"series";"";""
"5";"set";"";""
"5";"show";"";""
"5";"silent";"";""
"5";"simple";"";""
"5";"special";"";""
"5";"spot";"";""
"5";"superb";"";""
"5";"sure";"";""
"5";"sushi";"";""
"5";"sweet";"";""
"5";"three";"";""
"5";"too.,1";"";""
"5";"try";"";""
"5";"twice";"";""
"5";"whole";"";""
"5";"year";"";""
"4";"ago";"";""
"4";"almost";"";""
